-160 = 224
Frame Count: 236, Latitude: 38.013523, Longitude: 23.753283, Altitude: 385.859985
Frame Count: 237, Latitude: 38.01353, Longitude: 23.753287, Altitude: 385.895996
Frame Count: 238, Latitude: 38.01353, Longitude: 23.753287, Altitude: 385.895996
Frame Count: 239, Latitude: 38.013537, Longitude: 23.75329, Altitude: 385.927002
Frame Count: 240, Latitude: 38.013537, Longitude: 23.75329, Altitude: 385.927002
Frame Count: 241, Latitude: 38.013537, Longitude: 23.75329, Altitude: 385.927002
Frame Count: 242, Latitude: 38.013543, Longitude: 23.753293, Altitude: 385.927002
Frame Count: 243, Latitude: 38.013543, Longitude: 23.753293, Altitude: 385.927002
Frame Count: 244, Latitude: 38.013549, Longitude: 23.753296, Altitude: 385.959991
Frame Count: 245, Latitude: 38.013549, Longitude: 23.753296, Altitude: 385.959991
Frame Count: 246, Latitude: 38.013557, Longitude: 23.7533, Altitude: 385.959991
Frame Count: 247, Latitude: 38.013557, Longitude: 23.7533, Altitude: 385.959991
Frame Count: 248, Latitude: 38.013557, Longitude: 23.7533, Altitude: 385.959991
Frame Count: 249, Latitude: 38.013563, Longitude: 23.753303, Altitude: 385.975006
Frame Count: 250, Latitude: 38.013563, Longitude: 23.753303, Altitude: 385.975006
Frame Count: 251, Latitude: 38.013563, Longitude: 23.753303, Altitude: 385.975006
Frame Count: 252, Latitude: 38.01357, Longitude: 23.753307, Altitude: 385.975006
Frame Count: 253, Latitude: 38.01357, Longitude: 23.753307, Altitude: 385.975006
Frame Count: 254, Latitude: 38.013577, Longitude: 23.75331, Altitude: 386.018005
Frame Count: 255, Latitude: 38.013577, Longitude: 23.75331, Altitude: 386.018005
Frame Count: 256, Latitude: 38.013584, Longitude: 23.753313, Altitude: 386.018005
Frame Count: 257, Latitude: 38.013584, Longitude: 23.753313, Altitude: 386.018005
Frame Count: 258, Latitude: 38.013584, Longitude: 23.753313, Altitude: 386.018005
Frame Count: 259, Latitude: 38.01359, Longitude: 23.753316, Altitude: 386.040985
Frame Count: 260, Latitude: 38.01359, Longitude: 23.753316, Altitude: 386.040985
Frame Count: 261, Latitude: 38.01359, Longitude: 23.753316, Altitude: 386.040985
Frame Count: 262, Latitude: 38.013598, Longitude: 23.75332, Altitude: 386.040985
Frame Count: 263, Latitude: 38.013598, Longitude: 23.75332, Altitude: 386.040985
Frame Count: 264, Latitude: 38.013604, Longitude: 23.753324, Altitude: 386.054993
Frame Count: 265, Latitude: 38.013604, Longitude: 23.753324, Altitude: 386.054993
Frame Count: 266, Latitude: 38.013604, Longitude: 23.753324, Altitude: 386.054993
Frame Count: 267, Latitude: 38.01361, Longitude: 23.753326, Altitude: 386.054993
Frame Count: 268, Latitude: 38.01361, Longitude: 23.753326, Altitude: 386.054993
Frame Count: 269, Latitude: 38.013617, Longitude: 23.75333, Altitude: 386.053986
Frame Count: 270, Latitude: 38.013617, Longitude: 23.75333, Altitude: 386.053986
Frame Count: 271, Latitude: 38.013617, Longitude: 23.75333, Altitude: 386.053986
Frame Count: 272, Latitude: 38.013624, Longitude: 23.753333, Altitude: 386.053986
Frame Count: 273, Latitude: 38.013624, Longitude: 23.753333, Altitude: 386.053986
Frame Count: 274, Latitude: 38.01363, Longitude: 23.753336, Altitude: 386.057007
Frame Count: 275, Latitude: 38.01363, Longitude: 23.753336, Altitude: 386.057007
Frame Count: 276, Latitude: 38.01363, Longitude: 23.753336, Altitude: 386.057007
Frame Count: 277, Latitude: 38.013637, Longitude: 23.75334, Altitude: 386.057007
Frame Count: 278, Latitude: 38.013637, Longitude: 23.75334, Altitude: 386.057007
Frame Count: 279, Latitude: 38.013644, Longitude: 23.753343, Altitude: 386.052002
Frame Count: 280, Latitude: 38.013644, Longitude: 23.753343, Altitude: 386.052002
Frame Count: 281, Latitude: 38.013644, Longitude: 23.753343, Altitude: 386.052002
Frame Count: 282, Latitude: 38.01365, Longitude: 23.753346, Altitude: 386.052002
Frame Count: 283, Latitude: 38.01365, Longitude: 23.753346, Altitude: 386.052002
Frame Count: 284, Latitude: 38.013657, Longitude: 23.75335, Altitude: 386.058014
Frame Count: 285, Latitude: 38.013657, Longitude: 23.75335, Altitude: 386.058014
Frame Count: 286, Latitude: 38.013657, Longitude: 23.75335, Altitude: 386.058014
Frame Count: 287, Latitude: 38.013663, Longitude: 23.753353, Altitude: 386.058014
Frame Count: 288, Latitude: 38.013663, Longitude: 23.753353, Altitude: 386.058014
Frame Count: 289, Latitude: 38.01367, Longitude: 23.753356, Altitude: 386.048004
Frame Count: 290, Latitude: 38.01367, Longitude: 23.753356, Altitude: 386.048004
Frame Count: 291, Latitude: 38.01367, Longitude: 23.753356, Altitude: 386.048004
Frame Count: 292, Latitude: 38.013677, Longitude: 23.75336, Altitude: 386.048004
Frame Count: 293, Latitude: 38.013677, Longitude: 23.75336, Altitude: 386.048004
Frame Count: 294, Latitude: 38.013683, Longitude: 23.753363, Altitude: 386.040009
Frame Count: 295, Latitude: 38.013683, Longitude: 23.753363, Altitude: 386.040009
Frame Count: 296, Latitude: 38.013683, Longitude: 23.753363, Altitude: 386.040009
Frame Count: 297, Latitude: 38.01369, Longitude: 23.753366, Altitude: 386.040009
Frame Count: 298, Latitude: 38.01369, Longitude: 23.753366, Altitude: 386.040009
Frame Count: 299, Latitude: 38.013697, Longitude: 23.753369, Altitude: 386.027008
Frame Count: 300, Latitude: 38.013697, Longitude: 23.753369, Altitude: 386.027008
Frame Count: 301, Latitude: 38.013703, Longitude: 23.753373, Altitude: 386.027008
Frame Count: 302, Latitude: 38.013703, Longitude: 23.753373, Altitude: 386.027008
Frame Count: 303, Latitude: 38.013703, Longitude: 23.753373, Altitude: 386.027008
Frame Count: 304, Latitude: 38.01371, Longitude: 23.753376, Altitude: 386.002014
Frame Count: 305, Latitude: 38.01371, Longitude: 23.753376, Altitude: 386.002014
Frame Count: 306, Latitude: 38.01371, Longitude: 23.753376, Altitude: 386.002014
Frame Count: 307, Latitude: 38.013717, Longitude: 23.753379, Altitude: 386.002014
Frame Count: 308, Latitude: 38.013717, Longitude: 23.753379, Altitude: 386.002014
Frame Count: 309, Latitude: 38.013723, Longitude: 23.753383, Altitude: 385.989014
Frame Count: 310, Latitude: 38.013723, Longitude: 23.753383, Altitude: 385.989014
Frame Count: 311, Latitude: 38.013723, Longitude: 23.753383, Altitude: 385.989014
Frame Count: 312, Latitude: 38.01373, Longitude: 23.753386, Altitude: 385.989014
Frame Count: 313, Latitude: 38.01373, Longitude: 23.753386, Altitude: 385.989014
Frame Count: 314, Latitude: 38.013737, Longitude: 23.753389, Altitude: 385.987
Frame Count: 315, Latitude: 38.013737, Longitude: 23.753389, Altitude: 385.987
Frame Count: 316, Latitude: 38.013737, Longitude: 23.753389, Altitude: 385.987
Frame Count: 317, Latitude: 38.013744, Longitude: 23.753393, Altitude: 385.987
Frame Count: 318, Latitude: 38.013744, Longitude: 23.753393, Altitude: 385.987
Frame Count: 319, Latitude: 38.01375, Longitude: 23.753396, Altitude: 385.997986
Frame Count: 320, Latitude: 38.01375, Longitude: 23.753396, Altitude: 385.997986
Frame Count: 321, Latitude: 38.01375, Longitude: 23.753396, Altitude: 385.997986
Frame Count: 322, Latitude: 38.013757, Longitude: 23.753399, Altitude: 385.997986
Frame Count: 323, Latitude: 38.013757, Longitude: 23.753399, Altitude: 385.997986
Frame Count: 324, Latitude: 38.013764, Longitude: 23.753403, Altitude: 385.992004
Frame Count: 325, Latitude: 38.013764, Longitude: 23.753403, Altitude: 385.992004
